,City,2019
310,"Carmel city, Indiana",101068
311,"Spokane Valley city, Washington",101060
312,"San Angelo city, Texas",101004
313,"Vacaville city, California",100670
314,"Bend city, Oregon",100421
315,"Kenosha city, Wisconsin",99944
316,"Boca Raton city, Florida",99805
317,"Lee's Summit city, Missouri",99357
318,"Nampa city, Idaho",99277
319,"Rio Rancho city, New Mexico",99178
320,"South Fulton city, Georgia",99155
321,"Roanoke city, Virginia",99143
322,"Beaverton city, Oregon",99037
323,"Yuma city, Arizona",98285
324,"Lawrence city, Kansas",98193
325,"Orem city, Utah",97828
326,"Longmont city, Colorado",97261
327,"San Marcos city, California",96664
328,"Albany city, New York",96460
329,"Sandy city, Utah",96380
330,"Concord city, North Carolina",96341
331,"Federal Way city, Washington",96289
332,"Hesperia city, California",95750
333,"Brockton city, Massachusetts",95708
334,"Compton city, California",95605
335,"Flint city, Michigan",95538
336,"Erie city, Pennsylvania",95508
337,"New Bedford city, Massachusetts",95363
338,"Fishers city, Indiana",95310
339,"Sunrise city, Florida",95166
340,"Roswell city, Georgia",94763
341,"Menifee city, California",94756
342,"Tracy city, California",94740
343,"Plantation city, Florida",94580
344,"Quincy city, Massachusetts",94470
345,"Portsmouth city, Virginia",94398
346,"Mission Viejo city, California",94381
347,"Chino city, California",94371
348,"Lynn city, Massachusetts",94299
349,"Edmond city, Oklahoma",94054
350,"Dearborn city, Michigan",93932
351,"Livonia city, Michigan",93665
352,"Yakima city, Washington",93637
353,"South Gate city, California",93444
354,"Greenville city, North Carolina",93400
355,"Lawton city, Oklahoma",93025
356,"Kirkland city, Washington",93010
357,"Asheville city, North Carolina",92870
358,"Deltona city, Florida",92757
359,"Redding city, California",92590
360,"Bellingham city, Washington",92314
361,"Suffolk city, Virginia",92108
362,"Indio city, California",91765
363,"Mount Pleasant town, South Carolina",91684
364,"Carson city, California",91394
365,"Santa Barbara city, California",91364
366,"Conroe city, Texas",91079
367,"Westminster city, California",90643
368,"Santa Monica city, California",90401
369,"New Braunfels city, Texas",90209
370,"Livermore city, California",90189
371,"Palm Coast city, Florida",89800
372,"St. George city, Utah",89587
373,"Fall River city, Massachusetts",89541
374,"Nashua city, New Hampshire",89355
375,"Champaign city, Illinois",88909
376,"Miami Beach city, Florida",88885
377,"Norwalk city, Connecticut",88816
378,"San Leandro city, California",88815
379,"O'Fallon city, Missouri",88673
380,"Newton city, Massachusetts",88414
381,"Reading city, Pennsylvania",88375
382,"Avondale city, Arizona",87931
383,"Fort Smith city, Arkansas",87891
384,"Citrus Heights city, California",87796
385,"Ogden city, Utah",87773
386,"Fayetteville city, Arkansas",87590
387,"Fort Myers city, Florida",87103
388,"Goodyear city, Arizona",86840
389,"Bryan city, Texas",86276
390,"Waukegan city, Illinois",86075
391,"Hawthorne city, California",86068
392,"Redwood City city, California",85925
393,"Hoover city, Alabama",85768
394,"Bloomington city, Indiana",85755
395,"Duluth city, Minnesota",85618
396,"Lake Forest city, California",85531
397,"Hemet city, California",85334
398,"Whittier city, California",85098
399,"Clifton city, New Jersey",85052
400,"Largo city, Florida",84948
401,"Bloomington city, Minnesota",84943
402,"Danbury city, Connecticut",84694
403,"Santa Fe city, New Mexico",84683
404,"Johns Creek city, Georgia",84579
405,"Newport Beach city, California",84534
406,"Kennewick city, Washington",84347
407,"Mission city, Texas",84331
408,"Milpitas city, California",84196
409,"Troy city, Michigan",84092
410,"Chino Hills city, California",83853
411,"Alhambra city, California",83750
412,"Merced city, California",83676
413,"Trenton city, New Jersey",83203
414,"Franklin city, Tennessee",83097
415,"Medford city, Oregon",83072
416,"Melbourne city, Florida",83029
417,"Manteca city, California",83028
418,"Mountain View city, California",82739
419,"Sioux City city, Iowa",82651
420,"Lynchburg city, Virginia",82168
421,"Buena Park city, California",81788
422,"Pleasanton city, California",81777
423,"Longview city, Texas",81631
424,"Westland city, Michigan",81511
425,"Auburn city, Washington",81464
426,"Cranston city, Rhode Island",81456
427,"Somerville city, Massachusetts",81360
428,"Folsom city, California",81328
429,"Springdale city, Arkansas",81125
430,"Deerfield Beach city, Florida",81066
431,"Warwick city, Rhode Island",81004
432,"Cicero town, Illinois",80796
433,"Farmington Hills city, Michigan",80612
434,"Brooklyn Park city, Minnesota",80389
435,"Lawrence city, Massachusetts",80028
436,"Plymouth city, Minnesota",79768
437,"Buckeye city, Arizona",79620
438,"Georgetown city, Texas",79604
439,"Cedar Park city, Texas",79462
440,"Tustin city, California",79348
441,"Lakewood city, California",79307
442,"Perris city, California",79291
443,"Flower Mound town, Texas",79135
444,"Pharr city, Texas",79112
445,"Loveland city, Colorado",78877
446,"Boynton Beach city, Florida",78679
447,"New Rochelle city, New York",78557
448,"Temple city, Texas",78439
449,"Lake Charles city, Louisiana",78396
450,"Jonesboro city, Arkansas",78394
451,"Napa city, California",78130
452,"Parma city, Ohio",78103
453,"Layton city, Utah",78014
454,"Alameda city, California",77624
455,"Warner Robins city, Georgia",77617
456,"Rapid City city, South Dakota",77503
457,"Bloomington city, Illinois",77330
458,"Gastonia city, North Carolina",77273
459,"Baytown city, Texas",77192
460,"Upland city, California",77140
461,"Racine city, Wisconsin",76760
462,"Scranton city, Pennsylvania",76653
463,"South Jordan city, Utah",76598
464,"Bellflower city, California",76435
465,"Kalamazoo city, Michigan",76200
466,"San Ramon city, California",75995
467,"Bethlehem city, Pennsylvania",75815
468,"Wyoming city, Michigan",75667
469,"Hammond city, Indiana",75522
470,"Missoula city, Montana",75516
471,"Missouri City city, Texas",75457
472,"Pasco city, Washington",75432
473,"Baldwin Park city, California",75251
474,"Iowa City city, Iowa",75130
475,"Rancho Cordova city, California",75087
476,"Rock Hill city, South Carolina",75048
477,"Flagstaff city, Arizona",75038
478,"Gary city, Indiana",74879
479,"St. Joseph city, Missouri",74875
480,"Arlington Heights village, Illinois",74760
481,"Bolingbrook village, Illinois",74545
482,"Rochester Hills city, Michigan",74516
483,"Framingham city, Massachusetts",74416
484,"Union City city, California",74107
485,"Appleton city, Wisconsin",74098
486,"Turlock city, California",73631
487,"Camden city, New Jersey",73562
488,"Bismarck city, North Dakota",73529
489,"Evanston city, Illinois",73473
490,"Apple Valley town, California",73453
491,"Schaumburg village, Illinois",72887
492,"Woodbury city, Minnesota",72828
493,"Kissimmee city, Florida",72717
494,"Southfield city, Michigan",72689
495,"Maple Grove city, Minnesota",72622
496,"Pittsburg city, California",72588
497,"New Britain city, Connecticut",72495
498,"Jacksonville city, North Carolina",72436
499,"Mansfield city, Texas",72419
500,"Waukesha city, Wisconsin",72299
501,"Frederick city, Maryland",72244
502,"Albany city, Georgia",72130
503,"Pawtucket city, Rhode Island",72117
504,"Redmond city, Washington",71929
505,"Lauderhill city, Florida",71868
506,"Lafayette city, Indiana",71721
507,"Gulfport city, Mississippi",71705
508,"Redlands city, California",71513
509,"Weston city, Florida",71166
510,"St. Charles city, Missouri",71028
511,"Decatur city, Illinois",70746
512,"North Port city, Florida",70724
513,"North Richland Hills city, Texas",70670
514,"Greenville city, South Carolina",70635
515,"Bowling Green city, Kentucky",70543
516,"Broomfield city, Colorado",70465
517,"Canton city, Ohio",70447
518,"Marysville city, Washington",70298
519,"Walnut Creek city, California",70166
519,"Wilmington city, Delaware",70166
521,"Camarillo city, California",69888
522,"Lynwood city, California",69887
523,"Lehi city, Utah",69724
524,"Passaic city, New Jersey",69703
525,"Homestead city, Florida",69523
526,"Delray Beach city, Florida",69451
527,"Davis city, California",69413
528,"Lake Elsinore city, California",69283
529,"Daytona Beach city, Florida",69186
530,"Dothan city, Alabama",68941
531,"Rocklin city, California",68823
532,"Eau Claire city, Wisconsin",68802
533,"Rogers city, Arkansas",68669
534,"Castle Rock town, Colorado",68484
535,"St. Cloud city, Minnesota",68462
536,"Bossier City city, Louisiana",68159
537,"Rockville city, Maryland",68079
538,"Muncie city, Indiana",67999
539,"Gaithersburg city, Maryland",67985
540,"Union City city, New Jersey",67982
541,"West Des Moines city, Iowa",67899
542,"South San Francisco city, California",67789
543,"Yorba Linda city, California",67644
544,"Conway city, Arkansas",67638
545,"Lodi city, California",67586
546,"Palatine village, Illinois",67482
547,"Ankeny city, Iowa",67355
548,"Mount Vernon city, New York",67345
549,"Rowlett city, Texas",67339
550,"Waterloo city, Iowa",67328
551,"Lakeville city, Minnesota",67317
552,"Alpharetta city, Georgia",67213
553,"Jackson city, Tennessee",67191
554,"Yuba City city, California",67010
555,"Oshkosh city, Wisconsin",67004
556,"Victoria city, Texas",66916
557,"Johnson City city, Tennessee",66906
558,"Redondo Beach city, California",66749
559,"Tamarac city, Florida",66721
560,"Laguna Niguel city, California",66385
561,"Eagan city, Minnesota",66372
562,"Kenner city, Louisiana",66340
563,"Auburn city, Alabama",66259
564,"Ames city, Iowa",66258
565,"Portland city, Maine",66215
566,"North Little Rock city, Arkansas",65903
567,"Sammamish city, Washington",65892
568,"Madera city, California",65860
569,"Shawnee city, Kansas",65807
570,"Jupiter town, Florida",65791
571,"Doral city, Florida",65741
572,"Blaine city, Minnesota",65607
573,"Tulare city, California",65496
574,"Youngstown city, Ohio",65469
575,"Wellington village, Florida",65398
576,"Pflugerville city, Texas",65380
577,"Palo Alto city, California",65364
578,"Schenectady city, New York",65273
579,"Harlingen city, Texas",65022
580,"Bayonne city, New Jersey",64897
581,"Eden Prairie city, Minnesota",64893
582,"Port Orange city, Florida",64842
583,"Dublin city, California",64826
584,"San Marcos city, Texas",64776
585,"Noblesville city, Indiana",64668
586,"Santa Cruz city, California",64608
587,"Janesville city, Wisconsin",64575
588,"San Clemente city, California",64558
589,"Brentwood city, California",64474
590,"East Orange city, New Jersey",64367
591,"Cheyenne city, Wyoming",64235
592,"Eastvale city, California",64157
593,"Chapel Hill town, North Carolina",64051
594,"Haverhill city, Massachusetts",64014
595,"Lorain city, Ohio",63855
596,"Grand Junction city, Colorado",63597
597,"Springfield city, Oregon",63230
598,"Coon Rapids city, Minnesota",62998
599,"Idaho Falls city, Idaho",62888
600,"North Miami city, Florida",62822
601,"Encinitas city, California",62709
602,"Skokie village, Illinois",62700
603,"Leander city, Texas",62608
604,"Waltham city, Massachusetts",62495
605,"Council Bluffs city, Iowa",62166
606,"Hamilton city, Ohio",62082
607,"Moore city, Oklahoma",62055
608,"Pico Rivera city, California",62027
609,"Montebello city, California",61954
610,"Millcreek city, Utah",61450
611,"Sanford city, Florida",61448
612,"National City city, California",61394
613,"Burnsville city, Minnesota",61339
614,"Coconut Creek city, Florida",61248
615,"Lakewood city, Washington",61037
616,"Taylor city, Michigan",60922
617,"Novi city, Michigan",60896
618,"Marietta city, Georgia",60867
619,"Ocala city, Florida",60786
620,"Terre Haute city, Indiana",60622
621,"Woodland city, California",60548
622,"Petaluma city, California",60520
623,"La Habra city, California",60513
624,"Malden city, Massachusetts",60470
625,"Commerce City city, Colorado",60336
626,"Owensboro city, Kentucky",60131
627,"Bristol city, Connecticut",59947
628,"West Allis city, Wisconsin",59890
629,"Taylorsville city, Utah",59805
630,"Utica city, New York",59750
631,"Monterey Park city, California",59669
632,"Bonita Springs city, Florida",59637
633,"Porterville city, California",59599
634,"Greenwood city, Indiana",59458
635,"Bartlett city, Tennessee",59440
636,"Bradenton city, Florida",59439
636,"Vineland city, New Jersey",59439
638,"Pontiac city, Michigan",59438
639,"Meriden city, Connecticut",59395
640,"Gardena city, California",59329
641,"Apex town, North Carolina",59300
642,"Royal Oak city, Michigan",59277
643,"Cupertino city, California",59276
644,"Lancaster city, Pennsylvania",59265
645,"La Mesa city, California",59249
646,"Gilroy city, California",59032
647,"St. Clair Shores city, Michigan",58984
648,"Des Plaines city, Illinois",58899
649,"Springfield city, Ohio",58877
650,"Corvallis city, Oregon",58856
651,"Margate city, Florida",58796
652,"Bowie city, Maryland",58643
653,"Casa Grande city, Arizona",58632
654,"Caldwell city, Idaho",58481
655,"San Rafael city, California",58440
656,"Great Falls city, Montana",58434
657,"Sarasota city, Florida",58285
658,"Richland city, Washington",58225
659,"St. Peters city, Missouri",58212
660,"Hendersonville city, Tennessee",58113
661,"White Plains city, New York",58109
662,"Huntersville town, North Carolina",58098
663,"Santee city, California",58081
664,"Kokomo city, Indiana",58020
665,"Arcadia city, California",57939
666,"Casper city, Wyoming",57931
667,"Dubuque city, Iowa",57882
668,"Orland Park village, Illinois",57857
669,"Weymouth Town city, Massachusetts",57746
670,"Parker town, Colorado",57706
671,"Palm Beach Gardens city, Florida",57704
672,"Hanford city, California",57703
673,"Huntington Park city, California",57509
674,"Taunton city, Massachusetts",57464
675,"Midwest City city, Oklahoma",57407
676,"Medford city, Massachusetts",57341
677,"Euless city, Texas",57197
678,"Shoreline city, Washington",57027
679,"Smyrna city, Georgia",56666
680,"Pocatello city, Idaho",56637
681,"Valdosta city, Georgia",56457
682,"Carson City, Nevada",55916
683,"Lake Havasu City city, Arizona",55865
684,"Grand Forks city, North Dakota",55839
685,"Blue Springs city, Missouri",55829
686,"Southaven city, Mississippi",55780
687,"Tinley Park village, Illinois",55773
688,"Diamond Bar city, California",55720
689,"New Brunswick city, New Jersey",55676
690,"Lenexa city, Kansas",55625
691,"Brookhaven city, Georgia",55554
692,"Novato city, California",55516
693,"Tigard city, Oregon",55514
